# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-SNOMEDCT.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: SNOMED CT (International Edition)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_气短	shortness of breath	skos:exactMatch	SNOMEDCT:230145002	abnormal breathing	semapv:ManualMappingCuration	
TCM-SO:sx_气短	shortness of breath	skos:exactMatch	SNOMEDCT:267036007	abnormal breathing	semapv:ManualMappingCuration	
TCM-SO:sx_带下杂见五色	vaginal discharge of five intermingled colors	skos:exactMatch	SNOMEDCT:248955002	Vaginal discharge	semapv:ManualMappingCuration	
TCM-SO:sx_弄舌	Abnormality of the tongue	skos:closeMatch	SNOMEDCT:275259005	abnormal pinnae	semapv:ManualMappingCuration	
TCM-SO:sx_弄舌	Abnormality of the tongue	skos:closeMatch	SNOMEDCT:19416009	abnormal eye	semapv:ManualMappingCuration	
TCM-SO:sx_弄舌	Abnormality of the tongue	skos:closeMatch	SNOMEDCT:371405004	abnormal eye	semapv:ManualMappingCuration	
TCM-SO:sx_水泻	Watery diarrhea	skos:closeMatch	SNOMEDCT:267060006	diarrhea	semapv:ManualMappingCuration	under_review
TCM-SO:sx_水泻	Watery diarrhea	skos:closeMatch	SNOMEDCT:62315008	diarrhea	semapv:ManualMappingCuration	
TCM-SO:sx_指苍白	Pale finger	skos:closeMatch	SNOMEDCT:398979000	paleness	semapv:ManualMappingCuration	
TCM-SO:sx_言语不清	Slurred speech	skos:exactMatch	SNOMEDCT:289195008	slurred speech	semapv:ManualMappingCuration	
TCM-SO:sx_耳底痛	deep ear pain	skos:closeMatch	SNOMEDCT:16001004	ear pain	semapv:ManualMappingCuration	
TCM-SO:sx_耳底痛	deep ear pain	skos:closeMatch	SNOMEDCT:162356005	ear pain	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤感觉减退	Skin hypoesthesia	skos:closeMatch	SNOMEDCT:130980003	decreased vibration sense	semapv:ManualMappingCuration	
TCM-SO:sx_尿血淡红	light-red hematuria	skos:closeMatch	SNOMEDCT:34436003	blood in urine	semapv:ManualMappingCuration	
TCM-SO:sx_尿血淡红	light-red hematuria	skos:closeMatch	SNOMEDCT:53298000	blood in urine	semapv:ManualMappingCuration	
TCM-SO:sx_腰冷	cold lower back	skos:closeMatch	SNOMEDCT:279039007	low back pain	semapv:ManualMappingCuration	
TCM-SO:sx_口疮	Aphthous ulcer	skos:exactMatch	SNOMEDCT:235000006	Oral ulcer	semapv:ManualMappingCuration	
TCM-SO:sx_舌溃疡	Ulcerated tongue	skos:closeMatch	SNOMEDCT:52368004	fissured tongue	semapv:ManualMappingCuration	
TCM-SO:sx_舌溃疡	Ulcerated tongue	skos:closeMatch	SNOMEDCT:84557007	bifid tongue	semapv:ManualMappingCuration	
TCM-SO:sx_舌紫	Tongue pain	skos:closeMatch	SNOMEDCT:248614001	Tongue discoloration	semapv:ManualMappingCuration	
TCM-SO:sx_久泄不止	incessant chronic diarrhea	skos:closeMatch	SNOMEDCT:236071009	chronic diarrhea	semapv:ManualMappingCuration	
TCM-SO:sx_吞食梗塞	obstruction when swallowing	skos:closeMatch	SNOMEDCT:126765001	gastrointestinal obstruction	semapv:ManualMappingCuration	
TCM-SO:sx_口腔糜烂	Oral erosion	skos:closeMatch	SNOMEDCT:50792001	corneal erosion	semapv:ManualMappingCuration	
TCM-SO:sx_尿血棕红	brownish-red hematuria	skos:closeMatch	SNOMEDCT:34436003	blood in urine	semapv:ManualMappingCuration	
TCM-SO:sx_尿血棕红	brownish-red hematuria	skos:closeMatch	SNOMEDCT:53298000	blood in urine	semapv:ManualMappingCuration	
TCM-SO:sx_间歇性鼻塞	intermittent nasal obstruction	skos:closeMatch	SNOMEDCT:267100006	blockage of nose	semapv:ManualMappingCuration	
TCM-SO:sx_间歇性鼻塞	intermittent nasal obstruction	skos:closeMatch	SNOMEDCT:232209000	blockage of nose	semapv:ManualMappingCuration	
TCM-SO:sx_间歇性鼻塞	intermittent nasal obstruction	skos:closeMatch	SNOMEDCT:68235000	blockage of nose	semapv:ManualMappingCuration	
TCM-SO:sx_尿中带血丝	blood streaks in urine	skos:closeMatch	SNOMEDCT:34436003	blood in urine	semapv:ManualMappingCuration	
TCM-SO:sx_尿中带血丝	blood streaks in urine	skos:closeMatch	SNOMEDCT:53298000	blood in urine	semapv:ManualMappingCuration	
TCM-SO:sx_对光消失	absent light reflex	skos:closeMatch	SNOMEDCT:247144003	absent foveal reflex	semapv:ManualMappingCuration	
TCM-SO:sx_皮疹结血痴	blood-crusted rash	skos:closeMatch	SNOMEDCT:112625008	rash	semapv:ManualMappingCuration	
TCM-SO:sx_皮疹结血痴	blood-crusted rash	skos:closeMatch	SNOMEDCT:271807003	rash	semapv:ManualMappingCuration	
TCM-SO:sx_夜尿多	nocturia (frequent night urination)	skos:exactMatch	SNOMEDCT:139394000	nocturia	semapv:ManualMappingCuration	
TCM-SO:sx_疮面痛觉减退	decreased pain sensation of sore surface	skos:closeMatch	SNOMEDCT:697990000	decreased taste	semapv:ManualMappingCuration	
TCM-SO:sx_头大	macrocephaly	skos:closeMatch	SNOMEDCT:396100011910	disproportionately large head	semapv:ManualMappingCuration	
TCM-SO:sx_鼻端色白	White tip-of-nose	skos:closeMatch	SNOMEDCT:249327002	broad nasal tip	semapv:ManualMappingCuration	
